ProductId,Id1,Id2,Id3,Id4,ProductName,Brand,Category,SubCategory,ChildCategory,BundleId1,Bundle1,MOQ1,Price1,Bundle2,MOQ2,Price2,Bundle3,MOQ3,Price3,Bundle4,MOQ4,Price4
100,146,0,0,0,"airMAX PBE 5AC-ISO-Gen2 ",Ubiquiti,WISP,,,0,Clearance,1,11500,,0,0,,0,0,,0,0
98,0,0,0,0,airMAX PBE-5AC-500,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
101,0,0,0,0,airMAX PBE-5AC-500-ISO,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
99,0,0,0,0,airMAX PBE-5AC-620,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
103,0,0,0,0,airMAX PBE-5AC-Gen2,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
1635,0,0,0,0,airMAX PBE-5AC-ISO-GEN2,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
96,0,0,0,0,airMAX PBE-M5-300,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
97,148,147,0,0,airMAX PBE-M5-400,Ubiquiti,WISP,,,0,Clearance,3,6500,Offer 1,1,7800,,0,0,,0,0
538,150,149,0,0,airMAX PBE-M5-620,Ubiquiti,WISP,,,0,Clearance,4,9500,Offer 1,2,13500,,0,0,,0,0
102,0,0,0,0,airMAX PS-5AC,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
116,0,0,0,0,airMAX RD-5AC-31,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
766,0,0,0,0,airMAX RM2-Ti,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
123,0,0,0,0,airMAX Rocket 5AC Lite,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
